epoch,loss,aux_loss,colonization_loss,jump_loss,decline_loss,pde_loss,regular_loss,China_loss,India_loss,Philippines_loss,Portugal_loss,Sri Lanka_loss
1,1639.2151820591519,0.7456051128251212,841.5391524178641,726.0578701621607,77.20948061261858,4853.692843191964,23151.7998046875,2108.0421927315847,1947.1019880022322,2660.8440063476564,398.0084498814174,1082.0790858677456
2,1180.4523716517858,0.7291783877781459,487.52282289777486,667.3775181489832,66.6596211024693,3712.3382882254464,19695.811114501954,2132.7626953125,2767.89453125,1927.552978515625,271.5436096191406,402.5623474121094
3,1028.7779000418527,0.7139869093894958,381.7661442347935,544.0028018951416,62.33017283848354,3264.596355329241,24422.00461154514,1401.2344124930246,1552.3799665178572,1771.0509416852678,302.34605560302737,875.2503662109375
4,944.7636457170759,0.6985616087913513,314.2242708478655,415.65072928534613,61.360109383719305,3088.6296944754463,34700.56455078125,1784.19189453125,2448.28955078125,1695.4290771484375,239.2926025390625,332.66351318359375
5,885.0104143415178,0.6850802745137896,245.22390409197126,481.1193965524435,59.41147624424526,3038.5755440848216,12785.882775878907,1279.1264718191965,1275.6047581263952,1542.8599557059151,290.69474073137553,755.6034532819475
6,909.659024483817,0.6719663909503392,252.41887850080218,516.4383023579916,60.494570922851565,3125.728257533482,24226.611313290065,1637.7659912109375,2336.042724609375,1581.7288818359375,241.6358642578125,323.1242980957031
7,865.5361720493862,0.6622116463524955,250.34591511317663,433.6912777158949,57.55033046177456,2919.918355887277,30510.678466796875,1293.3953011648996,1131.807652064732,1303.2247767857143,283.19411332266674,712.1963736397879
8,839.5482648577009,0.651338563646589,222.46360315595354,389.13341135727734,56.38750752040318,2881.90909249442,28943.71160888672,1481.1392822265625,2307.3134765625,1520.0430908203125,242.0514678955078,304.5135498046875
9,796.1619123186384,0.6392979621887207,212.45184892926898,422.766173628966,56.00003498622349,2755.3451555524553,19679.048455810545,1134.1354143415178,1065.2576947893415,1290.9284423828126,260.29915924072264,674.4313589913504
10,793.6288295200893,0.6292330571583339,200.44099088396345,368.60880575460544,54.065623910086494,2631.212158203125,62791.180236816406,1570.229248046875,2223.343994140625,1526.058349609375,249.0287322998047,291.5359802246094
11,765.6587079729353,0.622932379586356,205.38394622802736,368.7640455145585,56.801725442068914,2611.995260184152,26940.83273654514,1084.3030421665737,1061.1659912109376,1481.7110421316963,263.0566525050572,658.0583326067243
