epoch,loss,aux_loss,colonization_loss,jump_loss,decline_loss,pde_loss,regular_loss,China_loss,India_loss,Philippines_loss,Portugal_loss,Sri Lanka_loss
1,1931.2958670479911,0.7432466728346688,1098.6786786760604,1000.536181640625,137.94283425467356,6124.579408482143,86850.88932291667,2696.9753487723215,2210.6146833147322,2839.431281389509,575.7279684884207,1333.7300484793527
2,1788.300847516741,0.7388783829552786,878.9885240827288,1054.0728560227615,130.04774191720145,5855.789892578125,55059.678059895836,3301.24560546875,3250.2705078125,2423.2861328125,396.6420593261719,737.9832153320312
3,1644.3134486607144,0.7328952993665423,745.9202728271484,567.4036701747349,125.38626011439732,5577.904157366072,57796.0576171875,2415.256755719866,2114.033910260882,2789.7453369140626,413.117085484096,1209.3509338378906
4,1523.0152465820313,0.7263343947274344,667.2068644932339,675.5319229125977,117.22219608851842,5124.381417410715,97164.5712890625,2861.76953125,3076.919677734375,2252.146484375,305.39984130859375,615.055908203125
5,1431.6054234095982,0.7208841170583452,591.1372485569545,859.9378841106708,116.27747061593192,5026.018638392857,53983.344970703125,2152.865598842076,1951.7164794921875,2655.3379115513394,348.50017787388396,1113.146957397461
6,1335.3224400111608,0.7153591547693525,545.5908063616072,767.5443473229042,112.05764781406947,4734.0630859375,20645.761393229168,2459.345703125,2973.0732421875,2024.1385498046875,278.99346923828125,576.4857177734375
7,1287.9034912109375,0.7117848515510559,477.84928065708704,626.3593902587891,111.04172079903739,4578.736572265625,32209.340494791668,1973.0659746442523,1813.3850263323102,2417.020047433036,337.75038473946705,1073.8548431396484
8,1254.5167916434152,0.7096078974860055,442.1430395943778,465.8252082824707,110.48513379778181,4518.119168526786,62445.93221028646,2192.895263671875,2964.525390625,1965.4713134765625,274.24224853515625,560.9287109375
9,1153.9473510742187,0.7022537112236023,368.7888419015067,695.4392626444499,109.8628686087472,4372.646826171875,31305.883544921875,1774.3722307477678,1724.1085518973214,2274.7813214983257,344.3387231009347,1040.4262202671596
10,1173.3726266043527,0.6986985427992685,357.75383311680383,479.77326045316806,102.57879813058035,4482.406745256696,1461.792251586914,1999.4097900390625,2846.620849609375,1901.3829345703125,270.7802429199219,556.1362915039062
11,1108.722096470424,0.6946361797196524,331.72190279279437,511.35417022705076,100.54359839303153,4174.161809430803,65638.90201822917,1675.9253182547434,1550.0378182547433,2056.323273577009,337.05286974225726,1057.272869001116
