epoch,loss,aux_loss,colonization_loss,jump_loss,decline_loss,pde_loss,regular_loss,China_loss,India_loss,Philippines_loss,Portugal_loss,Sri Lanka_loss
1,1400.474844796317,0.7279554963111877,804.0810106549944,875.6240248107911,101.34685570853097,4132.455322265625,25768.262466430664,1659.0826590401787,1845.889883858817,2077.2685250418526,376.18135833740234,1043.951778302874
2,982.1259905133928,0.6867114577974592,561.3235826764788,460.0443549522987,81.76351699829101,2715.521337890625,35677.659423828125,1644.841552734375,2460.35546875,1345.80859375,298.01434326171875,342.3668518066406
3,868.9392028808594,0.65455299445561,535.1258041381836,345.66249668760145,80.20038103376116,2484.24892578125,15734.105589206401,1305.8067095075335,1387.1566506522042,1207.8012329101562,315.94625505719864,693.919036429269
4,720.2677124023437,0.628359283719744,374.6277864728655,287.90924604733783,72.35045482090541,2185.560187639509,13247.724854605538,1661.163818359375,1752.29248046875,1249.1805419921875,306.78192138671875,289.160400390625
5,712.6020734514509,0.6072126763207571,429.1794972011021,250.15247245061965,76.91730902535575,2022.0129289899553,20362.328571992763,1009.4969805036272,1091.289692905971,1297.6781145368304,348.75139857700896,597.4797515869141
6,655.680171421596,0.5899928024836949,361.02486136300223,241.91361486434937,76.29928261893136,1951.1069301060268,10543.712880452475,1398.2987060546875,1440.1922607421875,1225.550537109375,338.2954406738281,256.5811767578125
7,616.0882132393973,0.5733854617391314,282.008224269322,244.29827390114465,75.79345561436244,1858.2514927455356,22352.54517037528,938.6876717703683,775.3449571881976,1012.0444937569755,310.25476989746096,565.0066358293806
8,600.7961975097656,0.5614278827394757,295.4024356297084,220.243243654569,74.76250621250698,1832.4092354910715,16762.20626553622,1274.7413330078125,1154.5150146484375,1323.1832275390625,263.00970458984375,230.54815673828125
9,553.457213483538,0.5504894409860883,289.7450855800084,197.3614290257295,78.23124182564872,1672.9062709263392,11099.615544245793,920.6382934570313,796.0566493443081,998.7563502720424,273.1227292742048,574.4362980433873
10,549.6530116489955,0.5391676306724549,260.7798605782645,208.0756595134735,86.79072570800781,1767.5940185546874,8926.460792541504,1442.0291748046875,1049.2506103515625,1051.93603515625,334.73797607421875,250.79559326171875
11,517.6123792375837,0.5285627348082406,225.18379429408483,206.07420788640562,82.46495699201311,1587.5070905412947,21704.790876116072,807.7270394461495,673.1713370186942,962.008247593471,299.0786359514509,536.4155572073801
12,487.3115094866071,0.5156431819711412,230.8792465209961,175.65014787153765,82.29115033830915,1459.2362374441964,22336.230834960938,1396.7335205078125,1084.8641357421875,1059.6885986328125,248.36734008789062,241.53123474121094
