epoch,loss,aux_loss,colonization_loss,jump_loss,decline_loss,pde_loss,regular_loss,China_loss,India_loss,Philippines_loss,Portugal_loss,Sri Lanka_loss
1,1891.196240234375,0.7418541039739336,1146.3750008719308,626.4088273889878,214.11128583635602,6299.852511160714,50313.478271484375,2454.101719447545,2077.336894880022,3177.121590750558,503.5914045061384,1243.8295567103794
2,1545.3820190429688,0.7310231515339443,747.756797354562,677.1391662597656,199.13426012311663,5626.150034877232,31691.801449245875,2636.012451171875,3201.560791015625,2592.794921875,319.8060302734375,562.5684814453125
3,1297.9642194475446,0.7243689724377224,599.0427185058594,491.6761896133423,183.63257969447545,4788.412193080357,28397.36017717634,1852.8689418247768,1812.9719787597655,2773.320455496652,313.7272750854492,974.0212851388114
4,1160.4436575753348,0.7142361283302308,509.53000717163087,449.7069658703274,174.20601654052734,4338.813190569196,32599.672729492188,1956.2581787109375,3116.419677734375,2216.222900390625,224.5877685546875,416.12432861328125
5,1073.6483555385046,0.7088509219033378,413.62556163242886,471.25762698524875,165.3989451817104,4181.284556361607,31939.234924316406,1522.7595467703684,1647.2874816894532,2194.7068516322543,272.91353280203685,852.1536124093192
6,962.6936872209822,0.6998647315161569,318.3175822666713,550.9902877807617,159.09181649344308,3903.9853445870535,25383.112548828125,1756.92822265625,3050.319091796875,1923.3609619140625,223.04739379882812,402.50177001953125
7,928.957071358817,0.6951413886887686,254.92098203386578,462.8749837875366,152.13242558070593,3867.4076381138393,30767.87783377511,1401.0200230189732,1561.4273716517857,1758.0858241489955,280.8190891810826,800.8658102852958
8,867.1620422363281,0.6873443075588771,239.97672598702567,492.9963399887085,150.41474260602678,3693.287137276786,19998.881309509277,1640.4132080078125,2943.585205078125,1832.366455078125,226.7785186767578,379.1887512207031
9,856.7583775111607,0.6809943318367004,229.21892754690987,405.3448002198163,147.74896327427456,3584.5442417689733,21401.76937866211,1346.3673060825893,1434.2366934640067,1581.5310163225447,274.6726503644671,731.4340473720006
10,810.6747959681919,0.6754126054900033,207.2325897216797,455.31869888305664,143.66298697335378,3393.256131417411,21190.96844482422,1574.1439208984375,2866.1162109375,1740.4124755859375,222.6458740234375,318.2021789550781
11,767.811705671038,0.6705609696252005,193.48796969822476,362.05856473105297,138.47419869559153,3276.9954171316963,12996.382365226746,1212.1356122698103,1306.1861380440848,1367.8310573032925,276.84717908586777,650.4683916364397
12,754.4555716378349,0.665239257471902,198.17357875279018,360.37648100602,131.41494729178294,3149.718087332589,27503.05050223214,1549.2208251953125,2817.76611328125,1676.3258056640625,236.05943298339844,294.0906982421875
13,726.3594220842634,0.6614214403288705,171.149000113351,324.15870987741573,131.98048989432198,3126.4908203125,15460.732921055385,1198.436057826451,1213.5937299455916,1285.9999720982144,287.0633274623326,659.692183140346
14,728.7778730119977,0.6560349668775286,215.14228286743165,327.0665886742728,127.7740746634347,3015.0014997209823,20522.93761117118,1522.5985107421875,2619.90234375,1669.3408203125,228.8032684326172,287.7467346191406
15,686.7113630022321,0.6541892392294747,170.9908359527588,339.8047508663601,124.79726344517299,2912.7215890066964,16874.307403564453,1079.8791887555803,1136.880348423549,1214.1236083984375,273.0997007097517,631.8272953578404
16,680.8387416294643,0.6499520012310573,165.73182743617465,304.90587212057676,127.79344090053013,2883.5038504464287,15443.941121419271,1470.7152099609375,2603.973876953125,1571.5108642578125,224.6857147216797,275.13702392578125
17,655.3577383858817,0.645389301436288,162.90573109218053,262.35353856337696,121.92635694231306,2742.3749093191964,22494.72292751736,1054.560479736328,1071.9950570242745,1169.633345249721,276.69706268310546,710.9058493477958
18,676.3176295689174,0.642061197757721,188.83265675136022,285.8079498079088,119.95437720162528,2791.6509556361607,19623.687057495117,1394.292236328125,2526.888671875,1516.3807373046875,228.44522094726562,272.54718017578125
19,656.7011492047991,0.639633229800633,191.95581327165877,229.69426668457248,118.020263671875,2648.8833949497766,30359.514594184027,1022.8079432896205,1053.19384765625,1098.4403791155135,272.65763702392576,606.274072265625
20,618.4016017368862,0.6357077326093401,167.6822931562151,247.93153398177202,114.09242248535156,2584.568763950893,15699.334289550781,1368.6497802734375,2458.554931640625,1516.337890625,237.7649688720703,262.636474609375
21,597.1034188406808,0.63285630771092,154.57130508422853,232.04727458953857,116.1906507219587,2466.877308872768,13976.726527622768,926.8457955496651,966.5662632533482,1115.059428187779,257.7402086530413,572.8467258998326
22,582.3775687081474,0.6296779002462115,204.17272496904647,215.14683703372353,114.5567160470145,2303.9240792410715,14499.590425863862,1431.041259765625,2386.87744140625,1336.0615234375,242.25587463378906,260.2344055175781
23,564.9481567382812,0.6278191719736371,162.8388027736119,262.40467272864447,115.54320002964565,2331.3572195870534,13966.092407226562,934.368892124721,952.0233476911272,1054.4084708077567,251.6076750619071,579.8693712506976
24,559.237495640346,0.624671973500933,150.1532646724156,231.12436389923096,113.81343569074359,2321.4279157366072,21828.185703754425,1364.9774169921875,2375.973388671875,1363.61962890625,259.0580749511719,278.8013916015625
25,541.1815508161272,0.6220572267259871,148.63578431265694,219.7241770029068,113.50939200265067,2269.4573939732145,10145.323488507953,909.8904558454241,896.3779331752232,1006.4920776367187,237.54975149972097,581.4868168422154
26,543.6204241071429,0.6201753463063922,156.17957104274205,209.3057199716568,117.87040645054408,2183.5738804408484,12796.096752166748,1322.2181396484375,2366.248046875,1349.7713623046875,267.95013427734375,254.14056396484375
27,535.1033957345145,0.6180523412568228,167.1316417149135,228.61099955240886,113.90829707554408,2157.895912388393,10893.347965240479,894.538037109375,914.4585074288505,1017.5327305385044,240.07817143031528,577.2818132672991
28,527.0433602469308,0.6156798107283455,150.2990487234933,209.9992815444344,118.66872122628348,2139.449476841518,18145.14064025879,1311.628173828125,2327.244873046875,1316.865966796875,293.338134765625,245.02554321289062
29,533.7818699428013,0.6133316687175205,153.9421419961112,208.48754321827607,116.40081285749163,2174.452982003348,9377.903200149536,865.1163356236049,902.2132895333426,904.3996555873326,216.20253230503627,545.6249557495117
30,521.5733877999442,0.6114833695547921,148.86771981375557,219.47943636576335,114.1381600516183,2064.298099190848,19061.22098650251,1327.4835205078125,2278.25927734375,1298.1954345703125,294.4805908203125,253.35104370117188
31,521.3915618896484,0.6101126262119838,183.59693309238978,180.56082194712428,114.23203125,2029.74208984375,15636.935314178467,808.1009329659598,874.0041434151785,918.6420401436942,232.79732753208705,570.6492116655622
32,575.0019492013114,0.6087956666946411,267.30161710466655,182.4637321215123,114.97387259347099,2008.0552769252233,21488.66375732422,1284.7884521484375,2189.141845703125,1309.1519775390625,330.5583190917969,234.64207458496094
33,489.8402335030692,0.6071073429925101,146.31691071646554,221.8890700340271,119.33635079520089,1982.8791224888394,9209.064706802368,765.0827920096261,845.7441266741072,885.8327340262276,213.6971076965332,566.4318873814174
34,477.69063764299665,0.6047259109360831,136.0036728995187,214.05075803574394,110.01701398577009,1896.7081473214287,21717.549933539496,1229.723388671875,2198.03759765625,1263.8350830078125,330.67193603515625,229.01791381835938
35,479.41853899274554,0.6041503361293248,139.64238646371024,191.94768168119822,117.37634735107422,1858.7020054408483,29645.04666573661,768.3604727608817,897.1635811941965,938.2545479910714,216.18994930812292,561.6195299421038
36,468.1217533656529,0.6021712711879186,146.90499550955636,152.88855539427863,114.44172973632813,1793.888996233259,21935.91217602624,1283.2198486328125,1961.0223388671875,1235.0594482421875,332.6419372558594,230.22926330566406
37,466.53202471051895,0.6002539345196315,132.42242502485,186.38673961162567,115.75861467633929,1840.6795445033483,21794.4917678833,820.1894548688616,802.6449593680245,914.0620221819196,214.44568372453963,532.1636034284319
38,486.3409149169922,0.5986752663339887,134.46839136396136,211.3988554212782,114.17523553030831,2020.0171177455356,6580.78605094552,1148.3150634765625,2032.936279296875,1274.0037841796875,335.3827819824219,227.31640625
39,453.51215209960935,0.5974014094897679,124.13074286324637,179.90465259552002,115.79735020228794,1810.3216936383928,12793.608673095703,714.4624154227121,826.4457798549107,811.9865025111607,207.03665106637138,532.076617867606
40,441.5471976143973,0.5955258778163365,124.07822581699916,168.06558030843735,116.61075777326312,1775.272181919643,13433.294826931424,1195.7015380859375,2009.6844482421875,1184.1368408203125,333.1539306640625,242.0231475830078
41,434.2951647077288,0.5942482113838196,128.66245062691826,206.73144221305847,113.33979143415179,1690.0102172851562,21013.99457168579,659.1202383858817,814.3636234828404,776.5829764229911,198.11234861101423,537.3377960205078
42,446.3945351736886,0.5938001019614083,133.33598093305315,171.8114424943924,114.6134290422712,1750.3327706473215,17134.324951171875,1117.4674072265625,1998.73876953125,1121.2998046875,315.6149597167969,226.83497619628906
43,443.14017900739395,0.5932509524481637,135.84437097821916,193.3496524586397,115.03968811035156,1702.3746773856026,19043.07293701172,608.6145891462054,888.6272770472935,734.5440403529576,209.1358301435198,470.96605181012836
44,421.7251630510603,0.5921274287360055,104.76834051949638,188.40326200212752,114.73471919468471,1702.577472795759,12407.624145507812,1098.5294189453125,1789.376953125,1163.4222412109375,332.350830078125,225.58309936523438
45,415.2014386858259,0.5911281074796404,119.99705385480608,221.78212289249197,112.64731881277902,1600.1543230329241,18892.834692001343,619.1266775948661,737.0971705845424,744.8552490234375,209.6086927141462,514.0529543195452
46,408.1008270263672,0.5891330361366272,119.66811349051339,145.69723981221517,112.72977207728795,1586.209840611049,19100.2280796596,1045.766845703125,1772.4520263671875,1121.7076416015625,348.81549072265625,223.94635009765625
47,413.29271327427455,0.5885826689856393,118.28101054600307,179.56477846950293,111.44723292759487,1634.5710658482142,19040.056958675385,634.9559583391462,727.1536246163505,739.404141671317,201.60364314488,493.0700947352818
48,399.7886535644531,0.5875463945525033,121.79131219046457,177.19852632946439,108.88249032156808,1575.3970842633928,13273.119354248047,1043.942138671875,1689.438232421875,1076.2218017578125,293.3962707519531,220.63233947753906
49,408.9998382568359,0.5865586195673261,121.94796916416713,172.593927415212,111.91306555611747,1606.2311070033481,8575.432427300348,630.6522552490235,697.6447492327009,681.4489990234375,188.01539655412947,508.1462905883789
50,400.1231937953404,0.5850692697933741,113.03806841714042,168.84319642186165,112.83283408028738,1566.5516967773438,13940.301391601562,986.1948852539062,1725.2481689453125,1051.856201171875,343.68377685546875,220.1057891845703
51,397.98528529575896,0.5852930562836783,112.65880295889718,202.39949798583984,111.49546356201172,1526.9301025390625,18062.469592624242,616.7866472516741,730.942622593471,680.0870749337332,190.26921190534318,500.01649300711495
52,380.2418579101562,0.5844219633511134,119.26406694139753,170.93388591093176,111.6528104509626,1475.8187255859375,10534.335777282715,1183.2042236328125,1461.5224609375,1049.04296875,318.2029724121094,218.7534637451172
53,386.50374189104355,0.5840437480381557,130.1616659436907,177.68689946830273,112.94252297537668,1481.7609235491072,8387.761568829417,609.3970162527902,702.6398149762834,655.9209533691406,185.6682040623256,521.8909702845982
54,375.30653076171876,0.5822682108197893,103.1182126726423,170.90330187479654,114.61601257324219,1457.2220023018974,14901.006377100945,1218.745361328125,1363.9425048828125,1087.244140625,290.18316650390625,230.7336883544922
55,369.96593409946985,0.5819664001464844,90.94247360229492,184.32158790616427,107.87544664655412,1477.3379429408483,16324.220726860895,577.1392987932478,687.1601096017021,640.4956316266741,191.73779798235213,538.6839427403041
56,363.52984401157926,0.5805469529969352,93.43692343575614,161.45168703546128,115.48882729666573,1465.3551688058035,7275.177406099107,1135.3486328125,1448.776123046875,1044.7008056640625,286.32879638671875,217.99911499023438
57,365.1624080113002,0.5808453372546605,95.05509338378906,153.15565736153548,110.63487189156669,1393.544677734375,27658.370315551758,607.5732129778181,742.7870971679688,629.7971034458706,186.10875069754465,502.64317626953124
58,374.3957846505301,0.578868864263807,106.19297760554723,147.79155880610148,111.64214433942523,1481.7889038085937,9749.260545253754,1206.111083984375,1405.242919921875,1045.923095703125,322.1598205566406,218.4580078125
59,357.826125226702,0.5780493089130947,115.48453826904297,171.6463958437244,107.64742791312081,1387.4260986328125,9786.417644633188,607.9168949672154,682.4649283272879,621.3792803083147,195.8690612792969,500.23678501674107
60,355.2946738106864,0.5771783777645656,97.95157767704555,201.27734971046448,106.17644271850585,1439.6253522600446,5962.7677001953125,1100.838134765625,1390.0462646484375,1019.5344848632812,298.96051025390625,224.5896759033203
61,359.5009456089565,0.5764519248689924,101.27290186200823,196.89622521499794,113.22120688302176,1408.2923880440849,10878.295640733508,550.7574789864676,702.0102002825056,667.2670370919363,182.73436638968332,504.18865269252234
62,356.162945992606,0.5760248371532986,103.31170948573521,154.1744531005621,107.87772489275251,1381.9569056919643,12115.425130208334,1061.8897705078125,1374.3690185546875,1027.3101806640625,299.2268371582031,217.26889038085938
