Expert,Mean Weight,Max Weight,Moran's I,P-value,Coverage
colonization,0.13926085508417607,0.21915560960769653,0.3223954628624119,0.002,0.08551576696953501
jump,0.06055278254195855,0.5466171503067017,0.46624862689804897,0.003,0.08551576696953501
decline,0.06217306371319355,0.5219296813011169,0.33083355082270977,0.005,0.08551576696953501
pde,0.09851247929378129,0.30590948462486267,0.3106407289327369,0.003,0.08551576696953501
