Expert,Mean Weight,Max Weight,Moran's I,P-value,Coverage
colonization,0.11567223230431409,0.3581114113330841,0.267341274074208,0.007,0.08551576696953501
jump,0.1759843394476775,0.6404343247413635,0.7106079119919232,0.001,0.08551576696953501
decline,0.04497203049771379,0.11580877006053925,0.12550952062713472,0.153,0.08551576696953501
pde,0.16315680449733208,0.3081776797771454,0.2101981948725982,0.024,0.08551576696953501
