number,value,datetime_start,datetime_complete,duration,params_attention_heads,params_colonization_expert_weight,params_colonization_threshold,params_colonization_weight,params_coord_embed_base,params_decline_expert_weight,params_decline_threshold,params_decline_weight,params_dropout_rate,params_hidden_dim_1_base,params_hidden_dim_2_base,params_hidden_dim_3_base,params_jump_expert_weight,params_jump_threshold,params_jump_weight,params_learning_rate,params_pde_expert_weight,params_pde_weight,params_weight_decay,state
0,854.3700983663152,2025-04-25 14:00:03.804538,2025-04-25 14:13:10.504070,0 days 00:13:06.699532,3,0.846470458309974,0.05871254182522992,6.41003510568888,3,0.5849356442713105,86.59541126403374,2.636424704863906,0.16239780813448107,31,13,6,0.508233797718321,156.21088666940682,9.72918866945795,0.00011207606211860574,0.47336180394137356,3.7381801866358395,1.9762189340280077e-06,COMPLETE
1,746.217395323316,2025-04-25 14:00:03.831297,2025-04-25 14:34:51.959442,0 days 00:34:48.128145,3,0.846470458309974,0.05871254182522992,6.41003510568888,3,0.5849356442713105,86.59541126403374,2.636424704863906,0.16239780813448107,31,13,6,0.508233797718321,156.21088666940682,9.72918866945795,0.00011207606211860574,0.47336180394137356,3.7381801866358395,1.9762189340280077e-06,COMPLETE
2,706.7525666524051,2025-04-25 14:00:03.845958,2025-04-25 15:00:20.243548,0 days 01:00:16.397590,3,0.846470458309974,0.05871254182522992,6.41003510568888,3,0.5849356442713105,86.59541126403374,2.636424704863906,0.16239780813448107,31,13,6,0.508233797718321,156.21088666940682,9.72918866945795,0.00011207606211860574,0.47336180394137356,3.7381801866358395,1.9762189340280077e-06,COMPLETE
3,694.1293332973243,2025-04-25 14:00:03.862287,2025-04-25 15:24:44.130158,0 days 01:24:40.267871,3,0.846470458309974,0.05871254182522992,6.41003510568888,3,0.5849356442713105,86.59541126403374,2.636424704863906,0.16239780813448107,31,13,6,0.508233797718321,156.21088666940682,9.72918866945795,0.00011207606211860574,0.47336180394137356,3.7381801866358395,1.9762189340280077e-06,COMPLETE
4,691.9505427272454,2025-04-25 14:00:03.891825,2025-04-25 15:49:48.646247,0 days 01:49:44.754422,3,0.846470458309974,0.05871254182522992,6.41003510568888,3,0.5849356442713105,86.59541126403374,2.636424704863906,0.16239780813448107,31,13,6,0.508233797718321,156.21088666940682,9.72918866945795,0.00011207606211860574,0.47336180394137356,3.7381801866358395,1.9762189340280077e-06,COMPLETE
5,708.1100976618342,2025-04-25 14:00:03.923837,2025-04-25 16:11:05.339065,0 days 02:11:01.415228,3,0.846470458309974,0.05871254182522992,6.41003510568888,3,0.5849356442713105,86.59541126403374,2.636424704863906,0.16239780813448107,31,13,6,0.508233797718321,156.21088666940682,9.72918866945795,0.00011207606211860574,0.47336180394137356,3.7381801866358395,1.9762189340280077e-06,COMPLETE
6,921.1560234577031,2025-04-25 14:00:03.955005,2025-04-25 16:18:13.525680,0 days 02:18:09.570675,3,0.846470458309974,0.05871254182522992,6.41003510568888,3,0.5849356442713105,86.59541126403374,2.636424704863906,0.16239780813448107,31,13,6,0.508233797718321,156.21088666940682,9.72918866945795,0.00011207606211860574,0.47336180394137356,3.7381801866358395,1.9762189340280077e-06,COMPLETE
7,1207.9397372067015,2025-04-25 14:00:03.980474,2025-04-25 16:22:20.245697,0 days 02:22:16.265223,3,0.846470458309974,0.05871254182522992,6.41003510568888,3,0.5849356442713105,86.59541126403374,2.636424704863906,0.16239780813448107,31,13,6,0.508233797718321,156.21088666940682,9.72918866945795,0.00011207606211860574,0.47336180394137356,3.7381801866358395,1.9762189340280077e-06,COMPLETE
8,1008.2411034254816,2025-04-25 14:00:03.994746,2025-04-25 16:27:57.173425,0 days 02:27:53.178679,3,0.846470458309974,0.05871254182522992,6.41003510568888,3,0.5849356442713105,86.59541126403374,2.636424704863906,0.16239780813448107,31,13,6,0.508233797718321,156.21088666940682,9.72918866945795,0.00011207606211860574,0.47336180394137356,3.7381801866358395,1.9762189340280077e-06,COMPLETE
9,944.4488046909062,2025-04-25 14:00:04.007836,2025-04-25 16:34:41.175234,0 days 02:34:37.167398,3,0.846470458309974,0.05871254182522992,6.41003510568888,3,0.5849356442713105,86.59541126403374,2.636424704863906,0.16239780813448107,31,13,6,0.508233797718321,156.21088666940682,9.72918866945795,0.00011207606211860574,0.47336180394137356,3.7381801866358395,1.9762189340280077e-06,COMPLETE
10,717.8341906781866,2025-04-25 14:00:04.020811,2025-04-25 16:55:16.416763,0 days 02:55:12.395952,5,0.5296480713060737,0.193965611891813,9.522656887511342,7,0.8124897805145396,37.65404112669709,8.212185656078328,0.4630659181130071,8,6,3,0.878204789548042,84.72528082300295,2.2703898624335253,0.0004993637883601218,0.7144299083451704,7.943328122319691,2.214396068504149e-07,COMPLETE
